id,screen_name,followers_count,score
1300982078318624769,QuoteDigging,31296,1
35533492,sarahbeth0404,10819,1
226257979,SenatorAument,6333,1
36670025,BBCAfrica,3633656,1
61257991,marc1705,3424,1
2273721968,ricmontg,4672,1
41704988,Kevinliptakcnn,45434,2
39155029,mkraju,629342,0
1370269173436317697,BHheadlines,13148,1
279176310,s9tmt,6731,0
44660449,MasonMornings,31725,1
15075999,hughhewitt,192703,2
19658856,DataProtectWF,10351,1
803267186236203008,PrivSecEvents,5366,1
138418838,StigmabaseO,4137,5
1438699293242703873,Hibiyee,5916,5
139390342,rakeshrky,8313,1
20275809,paulosaelias,28878,1
362952039,hyungjin1972,3843,1
1542888324,KimTongHyung,3752,3
812279094666792960,liberalady48,4198,-1
1349149096909668363,POTUS,22453272,0
2359337692,fcretired,16841,-1
14745413,cmerfy,9259,2
2691204877,jwhit71,12269,-1
753597671135412224,HodgAmanda,6192,1
62586135,dekkerronald,2533,1
1066521202519416833,xr_cambridge,18660,1
2780219130,JoeNunya777,5041,1
746001788629819392,NERC_Official,3490,1
1855042940,kshook007,2796,1
786309892990574592,SteveSchmidtSES,1581717,1
68013382,wildlifer22,3077,1
1097544221119209472,hoffman_noa,5433,1
3106065767,btharris93,4186,1
308212534,TheTheGrinch7,2550,1
248757990,brave0nft,14592,-2
832721932248190976,_letravels,5652,1
370119444,jeffmas1,3557,-1
20841895,hackneywick,14786,2
50611261,ArgusMedia,25733,1
1358693543771066372,Abrar_views,5902,5
4690039056,avpak3,7025,1
1418150592,MianShahbazAhmd,9858,1
44601026,EIA_News,25767,-2
27831488,BBCYaldaHakim,195825,6
96900937,ndtvfeed,475594,-1
37034483,ndtv,17087771,9
1440985208,ShahmeerAlbalos,7767,1
2989530407,TajBloch,5272,1
1430793200,ARYNEWSOFFICIAL,4486613,0
736823705347579905,samrudh_david,3096,-1
1236152301775015936,ui000009,7487,-1
1972519165,afshinrattansi,32448,1
1591286180,AtchaJohn,3244,1
795543783312134144,HoorainY,10978,8
2901642781,Kavitarmn1Raman,10817,1
1379144882095280128,DrydenNovelette,3459,2
19182456,Kane007,6226,1
7259302,JoeTrippi,787998,1
785279237875961856,cammac491,3658,0
1917731,thehill,4380204,4
851751855487148032,Jinxy_Minxy,3796,3
548384458,JoyceWhiteVance,883817,1
14386906,lauralscott,2746,1
2908170952,DiamondandSilk,1567715,-2
2942926929,sremos3,2996,-1
1106771843929788419,NotHoodlum,101739,0
358123503,asweetgrace,2614,1
829859948502929409,Lauraseriously1,6198,1
1346066206848135169,smithsgirl2,3232,-1
360199374,labourblackrose,9580,1
1420455992676978692,BaytAlFann,19666,0
124693895,hamnatweets,29191,-1
19983221,PA,142922,1
289148078,RecentLatestVia,5035,2
981100990089846786,MirrorBreaking_,61490,-2
385689121,chargrille,10979,1
1965612534,LaniKaiDuck,2946,1
1280151288597016577,BimalBorah119,19607,1
791490729642110976,420JobsBoard,11438,1
1151202637582348294,hephaistos_ai,3401,5
18342955,ABC11_WTVD,285412,-1
403389666,AnthonyABC11,5293,-1
1212560564225900544,SuxHypocrisy,6164,1
1199900952007806977,TheDSingularity,3052,1
760524381256818688,ChloeSchlosberg,8809,-1
1113877822395834368,Karlsmi00479109,3269,-1
1078665887811620864,lamemzy,5457,-1
22422121,TerritoryGal17,3242,1
2988059151,CalCorkery,2989,1
364761686,ilo,199936,5
739680841933066241,ILONewDelhi,3917,1
515321393,jcrgordon5,2834,2
2323062949,SharonRpurcell,2900,-1
3110283177,Amref_Kenya,37204,-1
17673627,ToryShepherd,16359,1
50560529,GrogsGamut,102332,0
1341712914160496640,UniteSharon,28215,1
13229442,catvincent,3288,0
247175898,10NewsFirstPER,34783,-1
96726172,ShowPatience,2501,-1
1036313253826244610,PNyamutoro,12423,1
128402033,simonmaginn,23680,2
238299801,Alexcl1690,3143,2
28067656,epiplexis_,2963,-1
859297966581891072,Stray_Kids,7825385,1
1363515757167079424,inniefelt,4258,1
8940342,HoustonChron,668231,3
2317871876,cbatchPHX,3894,1
14247141,John_Tedesco,7682,3
918733847579283456,MemeBurk,8179,5
38464818,CamdenPT,31776,1
20729210,ryanwernernyc12,3867,1
762166653425680384,GistLovers,7372,0
4746910335,Gold_Apparels,24092,1
80315907,andreaanderegg,4331,2
2232204548,Boondockfinds,41471,2
899915472103256064,Akinbills,8862,1
982879038413746177,rajput_sanjeeta,26546,-2
958458934184038400,Mirexshotz,17224,1
4715994441,HitFMCalabar,12913,1
2593852657,sevendless,32496,5
308703090,meela_whos,2909,1
575490127,Hambledown_Road,2924,1
1210498529325539328,EvieDaisy3,6046,2
1112903145838071808,triofrancos,28995,1
818076010356834304,Dr_MaiMusie,5207,1
25887412,10NewsFirst,221255,2
2859631754,BronFredericks,13072,3
807213338,Narunggaman,3251,1
48276110,IIreckon,4226,1
984558778375749632,johno0910,2519,-1
22573600,QuentinDempster,52561,-1
2277445532,MFWitches,41040,2
987844879,bprophetable,3988,1
1083607528850636801,ap4ca,3617,1
1010749652784693248,DoAsUWldDo2U,15682,1
1189799454506799104,thespecialbka,14205,0
60048953,Nowran,2772,-1
29420301,EddyJokovich,29189,3
58191687,melaniedoak,5194,10
310872365,WorldOfMarkyD,3837,-3
1092981085359820800,OperaSocialist,7096,-1
1086870727842766848,iam_demmix,4785,2
2955081647,femikingson,2721,-2
98917296,tristanpw1,2927,1
306823427,EliasMichalas,4336,2
1217213565788217344,_xdollars__,2721,0
19583545,LFC,20720209,2
16824146,empireofthekop,1920903,2
19569290,SimonPeach,136146,1
721070736283197440,AniUTD,8650,1
42596258,redhalf,11455,3
1348716165829423104,SPepper1964,25232,2
1329891389430243330,StephenM,174936,-5
1031031757,em_loo_g,9156,1
400177598,andrewrobertso5,1913935,1
1522147683171184640,joslater37,4875,-1
1471777003380613122,WolfRMFC,2696,-1
495672035,KiyyaBaloch,22609,4
1088371662108676096,BeckettUnite,73546,2
1203113351548743680,KaliwalYam,4184,5
1230168481812897800,TeamiPians,6639,2
1061284673605771265,LiberalWoe_man,6785,1
1353045987854610432,JasonCulberts10,3261,1
1353831471283392512,Randy16357441,3240,1
1525978009320181764,spriteer_774400,3116,3
15433452,JenniferJJacobs,388739,2
1194755806534586368,TaiwanFreedom89,7544,1
29811021,satariano,14816,1
37315687,RamonTonnaer,24961,-1
3741799215,BedrijfsAdres,6065,-1
1224805055464976384,ZachLincolnVA,2536,1
15527964,BeijingAir,103503,1
7228352,theluckyman,5622,1
116363549,SameeraKhan,91555,2
1461735024357564423,TheLegateIN,36303,1
861284101,DesiEscobar07,18436,0
25895750,FergusHanson,4111,1
246993396,Alexblx,2815,0
943105053975568385,Big_City_Radio,3004,0
899974189,kevinbonham,12098,1
1120820988378218497,Stweeting1,5965,-1
3103213542,awelab1956,29591,-1
903955081732567041,CookKCEgyptian,8878,1
3186559592,_thenode,7025,1
162650265,AlBawabaEnglish,161179,2
2194905277,emilyhewertson,106761,-1
134398365,unclejohnCC,2667,-1
18487837,margaritateresa,9126,-1
805573200998330368,AlexLuck9,17594,1
1147488416,Mr_Mat_fr,2781,1
231903549,BestDrWho,8619,2
1034141180664135680,suenesbitt75,4449,-1
610445933,JpLawrence3,4880,1
4871934887,A_Melikishvili,6525,2
230748240,Marshmyst,2579,2
67871827,immigrants24,3339,0
411419084,rahul05ranjan,3017,67
306868006,daniel_freund,12457,1
787040524192604160,TheActor_movie,6190,1
2343557479,MostafaMe4,8421,4
188143601,blanketcrap,21085,10
834078524277456897,mhdksafa,172774,1
34086990,markohalloran,17473,1
714996735,zartajgulwazir,2608149,1
1072528523590623232,MUSMAN46159956,2548,1
950613311757860869,itzz_UserMac10,5639,1
1424416424529891337,MinisterEduGoS,17323,1
1208466401696063489,AnwarBuledi,3086,1
25081451,SaleemulHuq,50351,1
2302150112,KottieCB,10860,1
490369119,kcbluewater,2597,3
1168475760,wammezz,14166,-1
20808463,fgeerdink,52853,-1
55060090,realTuckFrumper,178518,-96
890277711188512768,ChloePolitiCat,8699,1
809586511331074048,CobaltDaisy,19828,2
13218102,JohnCornyn,341240,2
1511166400013893639,AmericanwomanU1,3187,1
336049828,dirtlovinwoman,12921,-1
846037320667217921,BestForBritain,132327,6
1221730253057470465,EHijacked,12897,1
41178642,AfricanewsIT_ES,2659,2
1107579891271249921,ICCIA_EN,6777,0
19899980,caitoz,153664,3
865624663841320960,breakingmkts,74818,4
14173315,NBCNews,9120461,9
1113993134,514Eddie,2863,2
36974381,JubileeCampaign,11498,1
792005616,Fjordman1,4091,2
1435430791144562688,GwenieThinks,12257,-2
20665525,TheRealMattL,4633,-3
3074264693,PublicAffRCOT,3551,1
48659527,theRCOT,40240,1
61174128,GaryLemke,2930,1
394654669,RobHouwing,11417,1
26507585,LivEchonews,507837,2
735223195083657216,ChristabelCoops,5445,1
23396184,JayeRell,3347,1
1414307224529346560,jonesy_nb,4125,1
232167771,weens_teen,2971,-1
207972934,RoshanLalBittu,11137,2
833960312294502400,j25994646,2796,2
1097048735807361024,RonReg0807,3156,1
1450140806233436167,Bose1Justin,3003,3
181936890,AndrewRTDavies,15196,1
88921783,JFinchSaunders,5659,1
1483875795043037192,tesfayalex14,2935,3
1059863657121832961,gorka227,85696,1
702963029521076224,pjlacasse22,10827,2
24738484,ScenicArtDesign,37254,1
1343904451325816833,IndieBook,14913,2
100322494,BaySean,7575,1
1464132834,MrDipson,3754,2
66294227,nirajntsh,9110,1
2935940555,NKhutoryan,9761,1
206979151,JulianBurnside,180749,-1
1404087277,LennaLeprena,22376,2
1016943828052336640,Chris86767838,7269,0
267570919,SwannyQLD,116505,-1
227531567,SenKatyG,53075,-1
79726177,awakeningheart,3337,3
247507699,Janamejayan,16047,1
499649817,Pat1066Patrick,5447,1
1159657291,emlybkr,7560,-1
3249542526,chrisaibloom,4748,0
70617159,Politics_SMHAGE,43762,-1
14740721,crikey_news,194948,5
150466727,WriteWithDave,4563,2
183063452,bobjcarr,71933,1
244973299,johndmtb,11173,0
2813049204,docrussjackson,47825,5
557943742,BeaumontBee,4837,5
749022486923280384,Kaybee_Pablo,10336,4
2890716323,realgmg67,38248,2
1301859146569060352,Bifters1920,2833,1
1226535294146686981,Nathan_Gissing,26262,-1
1147520169306206208,Jeff_Tymer_,68948,1
1284939407494205443,AnneLaird31,22318,1
2749339514,JumbleRates,4154,0
332207855,YashodaHospital,7194,1
314449205,JlemDateline,9155,1
15182798,thejoshuablog,6352,1
1095004833751486470,MitraMotamed,4953,9
1226899205895139334,ShayanX0,6205,1
330262748,FabrizioRomano,8116970,3
1095824672321617920,NanakAsiedu1,3914,1
346600301,IanDoyleSport,126571,3
851777101,mousteebazza,3688,1
